TRMs;Celulas tumorais de mama;IL-10
Macrofago FOLR2+;TCD8+;Antigenio (ex vivo)
TAM;TCD8+;Arginase 1
TAM;Celulas MCF-7;BMP-2
TAM;Fibroblast;CCL18
TAM (M2like);Monocitos;CCL2
TAM;Treg;CCL22
TAM;Celulas MDA-MB-231 (TNBC);CCL22
TAM (M2like);Treg;CCL22
TRMs;Celulas tumorais de mama;CCL8
TAM (M2like);Celulas MDA-MB-231 e BT549;CCR2
M1;Celulas tumorais de mama;IL-6
TAM;TCD8+;Colageno
Macrofago;Celulas tumorais de mama;Exossomos
Celulas tumorais de mama;Macrofago;miR-183-5p
M1;Celulas tumorais de mama;TNF-alpha
M1;Celulas tumorais de mama;iNOS
TAM (M2like);Celulas tumorais de mama;IL-10
TAM;TCD8+;IL-10
Treg;TCD8+;IL-10
Treg;NK;IL-10
M1;Celula Tumoral;IL-12
TAM;BCSCs;IL-6
TCD4+;TAM;IL-4
TAM (M2like);Celulas MDA-MB-231 e BT549;MCP-1
Macrofago;Celulas tumorais de mama;miR-223
M2;Celulas de adenocarcinoma de mama (SKBR3 e MDA-MB-231);miR-223
M1;Celulas tumorais de mama;oxido nítrico
Macrofago;Celulas T citotoxica;PD-L1
Celulas tumorais de mama;Celula T citotoxica;PD-L1
TRMs;Celulas tumorais de mama;TGF-beta
Treg;TCD8+;TGF-beta
Treg;NK;TGF-beta
TRMs;Celulas tumorais de mama;TNF-alpha
M1;Celulas tumorais de mama;TNF-alpha
Celulas tumorais de mama;Macrofago;VEGF
TAM (M2like);Celulas tumorais de mama;VEGF
Th1;M1;IFN-gamma
Th2;M1;IFN-gamma
Th3;M1;TNF-alpha
Th4;M1;TNF-alpha
Th5;M1;IL-6
Th6;M1;IL-6
Th7;M1;IL-17
Th8;M1;IL-17
Th9;M1;IL-12
Th10;M1;IL-23
Th11;Th1;IL-23
Th12;Th1;IL-12
Th13;Th1;IL-12
Th14;Th17;IL-23
Th2;M2;IL-4
Mastocyte;M2;IL-4
Th2;M2;IL-13
Mastocyte;M2;IL-13
Treg;M2;IL-10
TCD4+;Treg;TGF-beta
TCD8+;Treg;TGF-beta
M2;Th2;IL-10
Mastocyte;Th2;IL-4
Th17;Neutrophil;IL-17
Th2;Eosinophil;IL-5
Th1;B cell;IFN-gamma
Th2;B cell;IL-4
Treg;DC;IL-10
DC;Treg;IL-10
DC;Treg;TGF-beta
M2;Fibroblast;TGF-beta
Th1;TCD8+;IL-2
Th2;Mastocyte;IL-9
Th17;EC;IL-22
EC;DC;TSLP
B cell;MC;IL-10
ILC3;EC;IL-22
Celulas tumorais de mama;Macrofago (GPR132);Lactato
Celula Tumoral (TNBC);Macrofago CD163+;25HC
Celulas tumorais de mama;Celula Mieloide;GM-CSF
Macrofago;TCD8+;Arginase 1
Celulas tumorais de mama;Macrofago (CSF-1R);CSF-1
TAM;Celula Tumoral (EGFR);EGF
Celula Tumoral (ativada ErbB3/CXCR4);Macrofago (CSF-1R);CSF-1
Macrofago;Celula Endotelial Vascular;VEGF-A
Celula Tumoral;Macrofago;Exossomo circ-0100519
Celulas tumorais de mama;Macrofago;Lactato
TAM;Celulas-Tronco de Câncer de Mama (BCSCs);IL-6
TAM (M2like);Celula Tumoral;27-HC
Celulas tumorais de mama;Macrofago;Lactato
Celulas tumorais de mama;Macrofago;Exossomo miR-99b-3p
